Date,Drawdown
1997-06-16,-0.06673507057025918
1997-06-17,-0.06126335612341072
1997-06-18,-0.06088717575518965
1997-06-19,-0.06064778824814021
1997-06-20,-0.0605178350300275
1997-06-23,-0.059054151415495526
1997-06-24,-0.05700909814098598
1997-06-25,-0.05885580176679739
1997-06-26,-0.057802496735778974
1997-06-27,-0.05815815817482406
1997-06-30,-0.04309726415987358
1997-07-01,-0.03963640477224206
1997-07-02,-0.03562837393992546
1997-07-03,-0.03730408648927275
1997-07-04,-0.03724936934480427
1997-07-07,-0.03604559216649772
1997-07-08,-0.032803601356739875
1997-07-09,-0.019965591335821542
1997-07-10,-0.020417007777686624
1997-07-11,-0.02577928793559814
1997-07-14,-0.035204316070294506
1997-07-15,-0.035553137866281226
1997-07-16,-0.03854206188287235
1997-07-17,-0.03810432472712433
1997-07-18,-0.04638029282798273
1997-07-21,-0.04233122413731483
1997-07-22,-0.03664748075565083
1997-07-23,-0.028556183017373837
1997-07-24,-0.030484962359887846
1997-07-25,-0.034513512121379986
1997-07-28,-0.03263944992333423
1997-07-29,-0.02818000264915299
1997-07-30,-0.025129521845034808
1997-07-31,-0.018837050231159114
1997-08-01,-0.013823591869234098
1997-08-04,0.0
1997-08-05,0.0
1997-08-06,-0.0035294269974257553
1997-08-07,-0.012190721985361419
1997-08-08,-0.0189588377409613
1997-08-11,-0.01060180370107966
1997-08-12,-0.01581480794440382
1997-08-13,-0.022089344828716384
1997-08-14,-0.028762801622699508
1997-08-19,-0.042576248664348615
1997-08-20,-0.03608534843919786
1997-08-21,-0.0447736888447382
1997-08-22,-0.05659253633803352
1997-08-26,-0.05088595322342182
1997-08-27,-0.05091975999542786
1997-08-28,-0.06695769263507145
1997-08-29,-0.0782761999026782
1997-09-01,-0.07228563990321601
1997-09-02,-0.07173797019671901
1997-09-03,-0.06987183638198802
1997-09-04,-0.06615309146132875
1997-09-05,-0.06413144649537039
1997-09-08,-0.05601105985953059
1997-09-09,-0.06091304180039969
1997-09-10,-0.06025042906908218
1997-09-11,-0.06397593534414281
1997-09-12,-0.0673228057727362
1997-09-15,-0.06561218310923278
1997-09-16,-0.06708615836869414
1997-09-17,-0.076166657329504
1997-09-18,-0.08107540062477436
1997-09-19,-0.08836414066926668
1997-09-22,-0.09316470229411777
1997-09-23,-0.0888982876669615
1997-09-24,-0.08860078807330862
1997-09-25,-0.08352301091800851
1997-09-26,-0.08002062933818743
1997-09-29,-0.07939858473327721
1997-09-30,-0.08261022807384666
1997-10-01,-0.08233301254339742
1997-10-03,-0.08890504902136265
1997-10-06,-0.08791112992438643
1997-10-07,-0.08319170455234959
1997-10-08,-0.08117682094079237
1997-10-09,-0.07635597525273774
1997-10-10,-0.07146751602067081
1997-10-13,-0.06951348459872453
1997-10-14,-0.07544995376297703
1997-10-15,-0.0732592749369887
1997-10-16,-0.0683167248697123
1997-10-17,-0.06472644568267594
1997-10-20,-0.05753236459980027
1997-10-21,-0.062258551326238365
1997-10-22,-0.06563922852683768
1997-10-23,-0.07334717254420431
1997-10-24,-0.08065619665190005
1997-10-27,-0.08256965994743937
1997-10-30,-0.0934554405333694
1997-11-03,-0.09633577750828015
1997-11-04,-0.09635606157148358
1997-11-05,-0.09961503439286157
1997-11-06,-0.10173809967483793
1997-11-07,-0.1043479824737007
1997-11-10,-0.10741087601744359
1997-11-11,-0.10803292062235403
1997-11-12,-0.11674154509109791
1997-11-13,-0.12689709940169858
1997-11-14,-0.12701204242651898
1997-11-17,-0.12570033967268623
1997-11-18,-0.13181936540577122
1997-11-19,-0.13778287998762861
1997-11-20,-0.13626157524735893
1997-11-21,-0.13031158337430393
1997-11-24,-0.14190730617235991
1997-11-25,-0.13458475935586145
1997-11-26,-0.12776255276505188
1997-11-27,-0.11797211159211618
1997-11-28,-0.1262006798983749
1997-12-01,-0.125625964774273
1997-12-02,-0.12730954202017164
1997-12-03,-0.1265252249096327
1997-12-04,-0.13130550247128003
1997-12-05,-0.13797219791086202
1997-12-08,-0.13897963971664062
1997-12-09,-0.1461601980907138
1997-12-10,-0.1503589991738583
1997-12-11,-0.1537802445008648
1997-12-12,-0.1541521189929308
1997-12-15,-0.1504739421986785
1997-12-16,-0.14480116585607283
1997-12-17,-0.13785049353164058
1997-12-18,-0.13891202617262866
1997-12-19,-0.13296203429957365
1997-12-22,-0.12463880703169816
1997-12-23,-0.12241432143370357
1997-12-24,-0.12505801100457237
1997-12-26,-0.12242108278810493
1997-12-29,-0.1144832527210976
1997-12-30,-0.12046029001175729
1997-12-31,-0.11891193985388282
1998-01-01,-0.1128470049560073
1998-01-02,-0.10889161263130609
1998-01-05,-0.10327968847831126
1998-01-06,-0.1067212178685214
1998-01-07,-0.11002075881630635
1998-01-08,-0.12060903980858373
1998-01-09,-0.13169766102654978
1998-01-12,-0.14520684712014476
1998-01-13,-0.14145429542747945
1998-01-14,-0.14349622445664156
1998-01-15,-0.1467349132148157
1998-01-16,-0.14492963158969574
1998-01-19,-0.1363291887913709
1998-01-20,-0.13996003610481456
1998-01-21,-0.14361116748146174
1998-01-22,-0.14849286535912742
1998-01-23,-0.15239416684861906
1998-01-27,-0.1609540415205366
1998-01-28,-0.16797232738898116
1998-01-29,-0.16829011104583724
1998-02-02,-0.1553285946587395
1998-02-03,-0.15650507032454797
1998-02-04,-0.16067006463568645
1998-02-05,-0.1581616021528417
1998-02-06,-0.15879040811215317
1998-02-09,-0.1608526212045186
1998-02-10,-0.16404398048188462
1998-02-11,-0.1660994322198489
1998-02-12,-0.16590335294221425
1998-02-13,-0.16023733795400963
1998-02-16,-0.150690305539517
1998-02-17,-0.15476064088903863
1998-02-18,-0.15547058310116457
1998-02-19,-0.1516368951556848
1998-02-20,-0.1528471775934993
1998-02-23,-0.1453285514993664
1998-02-24,-0.14442929136400684
1998-02-26,-0.1296090456566098
1998-02-27,-0.1296090456566098
1998-03-02,-0.1296090456566098
1998-03-03,-0.1296090456566098
1998-03-04,-0.1296090456566098
1998-03-05,-0.1296090456566098
1998-03-06,-0.1296090456566098
1998-03-09,-0.1296090456566098
1998-03-10,-0.1296090456566098
1998-03-11,-0.1296090456566098
1998-03-12,-0.1296090456566098
1998-03-16,-0.1296090456566098
1998-03-17,-0.1296090456566098
1998-03-18,-0.1296090456566098
1998-03-19,-0.1296090456566098
1998-03-20,-0.1296090456566098
1998-03-23,-0.1296090456566098
1998-03-24,-0.1296090456566098
1998-03-25,-0.1296090456566098
1998-03-26,-0.1296090456566098
1998-03-27,-0.1296090456566098
1998-03-30,-0.1296090456566098
1998-03-31,-0.1296090456566098
1998-04-01,-0.1296090456566098
1998-04-02,-0.1296090456566098
1998-04-03,-0.1296090456566098
1998-04-06,-0.1296090456566098
1998-04-07,-0.1296090456566098
1998-04-08,-0.1296090456566098
1998-04-10,-0.1296090456566098
1998-04-13,-0.1296090456566098
1998-04-15,-0.1296090456566098
1998-04-16,-0.1296090456566098
1998-04-17,-0.1296090456566098
1998-04-20,-0.1296090456566098
1998-04-21,-0.1296090456566098
1998-04-22,-0.1296090456566098
1998-04-23,-0.1296090456566098
1998-04-24,-0.1296090456566098
1998-04-27,-0.1296090456566098
1998-04-29,-0.13187506921794767
1998-04-30,-0.1267391516948556
1998-05-04,-0.11078070819477404
1998-05-05,-0.10873445663083325
1998-05-06,-0.11828749509365022
1998-05-08,-0.1236436889890643
1998-05-12,-0.13138814250018283
1998-05-13,-0.15008844716101222
1998-05-14,-0.1364776860501542
1998-05-15,-0.14150926213372528
1998-05-18,-0.1324489471353134
1998-05-19,-0.12898828939119844
