index_name,tradedate,open,high,low,close
N500MOM 50,2015-06-30,9808.23,9952.89,9808.23,9952.89
N500Q 50,2015-06-30,5809.16,5861.18,5809.16,5861.18
N500LOWVOL 50,2015-06-30,5771.61,5811.09,5771.61,5811.09
N500VALUE 50,2015-06-30,3468.55,3506.43,3468.55,3506.43
N500Q 50,2015-07-01,5861.18,5912.84,5861.18,5912.84
NSE500,2015-07-01,6908.6,6987.7,6908.6,6972.3
N500VALUE 50,2015-07-01,3506.43,3591.39,3506.43,3591.39
N500LOWVOL 50,2015-07-01,5811.09,5864.56,5811.09,5864.56
N500MOM 50,2015-07-01,9952.89,10123.7,9952.89,10123.7
N500VALUE 50,2015-07-02,3591.39,3626.29,3591.39,3626.29
N500LOWVOL 50,2015-07-02,5864.56,5868.15,5864.56,5868.15
N500MOM 50,2015-07-02,10123.7,10247.4,10123.7,10247.4
N500Q 50,2015-07-02,5912.84,5912.84,5905.62,5905.62
NSE500,2015-07-02,6992.55,7010.2,6974.35,6983.35
N500VALUE 50,2015-07-03,3626.29,3626.29,3621.99,3621.99
N500LOWVOL 50,2015-07-03,5868.15,5896.93,5868.15,5896.93
N500MOM 50,2015-07-03,10247.4,10247.4,10187.1,10187.1
N500Q 50,2015-07-03,5905.62,5929.6,5905.62,5929.6
NSE500,2015-07-03,6984.65,7028.15,6984.6,7003.95
N500VALUE 50,2015-07-06,3621.99,3668.72,3621.99,3668.72
NSE500,2015-07-06,6922.9,7048.35,6922.9,7043.4
N500Q 50,2015-07-06,5929.6,5966.58,5929.6,5966.58
N500LOWVOL 50,2015-07-06,5896.93,5932.05,5896.93,5932.05
N500MOM 50,2015-07-06,10187.1,10281.5,10187.1,10281.5
N500MOM 50,2015-07-07,10281.5,10312.5,10281.5,10312.5
N500Q 50,2015-07-07,5966.58,5989.93,5966.58,5989.93
N500VALUE 50,2015-07-07,3668.72,3688.2,3668.72,3688.2
NSE500,2015-07-07,7052.65,7081.95,7025.2,7051.05
N500LOWVOL 50,2015-07-07,5932.05,5938.26,5932.05,5938.26
NSE500,2015-07-08,6993.65,7020.0,6919.6,6939.7
N500VALUE 50,2015-07-08,3688.2,3688.2,3606.83,3606.83
N500Q 50,2015-07-08,5989.93,5989.93,5910.76,5910.76
N500MOM 50,2015-07-08,10312.5,10312.5,10112.1,10112.1
N500LOWVOL 50,2015-07-08,5938.26,5938.26,5865.94,5865.94
N500VALUE 50,2015-07-09,3606.83,3606.83,3594.81,3594.81
N500MOM 50,2015-07-09,10112.1,10112.1,10072.3,10072.3
N500Q 50,2015-07-09,5910.76,5910.76,5870.6,5870.6
N500LOWVOL 50,2015-07-09,5865.94,5865.94,5835.26,5835.26
NSE500,2015-07-09,6947.7,6973.5,6910.2,6915.35
N500MOM 50,2015-07-10,10072.3,10118.4,10072.3,10118.4
N500Q 50,2015-07-10,5870.6,5870.6,5858.05,5858.05
N500LOWVOL 50,2015-07-10,5835.26,5835.26,5828.69,5828.69
NSE500,2015-07-10,6948.9,6958.3,6906.6,6935.55
N500VALUE 50,2015-07-10,3594.81,3614.77,3594.81,3614.77
N500MOM 50,2015-07-13,10118.4,10256.5,10118.4,10256.5
