Date,Roll_1Y,Roll_3Y,Roll_5Y
1998-08-24,1.2131767803902349e-05,-0.01974685049764946,
1998-08-25,1.1512421268178308e-05,-0.025764719141571635,
1998-08-27,1.1213773408513816e-05,-0.0420099630639883,
1998-08-28,1.1714328678968933e-05,-0.05042898188817646,
1998-08-31,1.1032837868407697e-05,-0.05126793919390271,
1998-09-01,1.2138191107124996e-05,-0.05158026546587857,
1998-09-02,1.1447798339725423e-05,-0.04907110654081359,
1998-09-03,1.0757093056534828e-05,-0.046108902629255155,
1998-09-04,1.0587040069620635e-05,-0.04404173859022109,
1998-09-07,9.845706912536833e-06,-0.03452522616072051,
1998-09-08,8.609878956233885e-06,-0.026575987038103488,
1998-09-09,7.70136839012281e-06,-0.01397916255777154,
1998-09-10,8.115236177386187e-06,0.00044401247009773215,
1998-09-11,8.570415071629256e-06,0.00458780136379533,
1998-09-14,7.891130397008617e-06,0.00648680949003122,
1998-09-15,8.019714358264984e-06,0.012790159135689594,
1998-09-16,8.24241482344501e-06,0.0109896407385206,
1998-09-17,8.791548089193135e-06,0.023348543579207126,
1998-09-18,8.713330326481916e-06,0.02768694776056113,
1998-09-21,8.792849490402155e-06,0.025751647987420134,
1998-09-22,8.562146217361288e-06,0.0067996991653505034,
1998-09-23,7.730481145551416e-06,-0.003016637549905221,
1998-09-24,7.002845230807964e-06,-0.003944026741310336,
1998-09-25,6.870305343964489e-06,0.005157632380473509,
1998-09-28,6.331671793202709e-06,-0.004347835180373405,
1998-09-29,6.809993852163743e-06,-0.003914570411822416,
1998-09-30,6.216668670400161e-06,-0.005866268110491624,
1998-10-05,8.727995200130678e-06,-0.011340078714412005,
1998-10-06,8.766448988506426e-06,-0.007207264735306973,
1998-10-07,7.4603946340623395e-06,-0.01079556539177362,
